vehicle	motorcycle	0.18166666666666667	0.008993359426535907
keyboard	weapon	0.09000000000000001	0.0
glass	cabinet	0.32	0.0
ear	promontory	0.0	0.0
duck	animal	0.9866666666666667	1.0
elephant	animal	0.9833333333333334	1.0
gate	door	0.6533333333333333	0.0
alcohol	substance	0.9166666666666666	0.0
crane	bird	0.8833333333333333	0.9615384615384616
chair	bench	0.3933333333333333	0.0
canoe	boat	1.0	0.0
meter	measuring_stick	0.9833333333333334	0.0
jug	jar	0.39999999999999997	0.0
snake	animal	0.875	1.0
keyboard	piano	0.7083333333333334	0.0
fig	food	0.8333333333333334	0.0
material	rubber_eraser	0.12833333333333333	0.047619047619047616
ball	game	0.525	0.0
mouse	rodent	0.9716666666666667	0.0
traffic_light	signal	0.9	0.0
sofa	chair	0.5633333333333334	0.0
robin	bird	1.0	1.0
rubber_eraser	eraser	0.6816666666666666	0.0
skunk	animal	1.0	1.0
washer	appliance	0.94	0.0
owl	bird	1.0	1.0
utensil	tool	0.9	0.0
liquid	substance	0.8966666666666666	0.08163265306122448
instrument	piano	0.055	0.0
chain	lock	0.21833333333333335	0.0
jeep	vehicle	0.985	1.0
snail	animal	0.8616666666666667	1.0
monkey	animal	1.0	1.0
mammal	dog	0.21666666666666667	0.86046408513154
plate	spoon	0.03333333333333333	0.0
van	vehicle	0.975	1.0
pistol	weapon	0.9616666666666666	0.0
jug	container	0.9033333333333333	1.0
brass	memorial	0.7216666666666667	0.0
crab	food	0.91	0.0
chimpanzee	primate	1.0	1.0
hawk	eagle	0.16666666666666666	0.0
column	paper	0.12833333333333333	0.0
goose	bird	0.9233333333333333	1.0
animal	duck	0.16666666666666666	0.0036486023619115696
mug	cup	0.93	0.23076923076923078
palace	dwelling	0.9166666666666666	0.0
sphere	shape	0.985	0.2
orange	fruit	1.0	0.12
car	vehicle	0.25833333333333336	1.0
mongoose	animal	0.8333333333333334	1.0
pan	utensil	0.4483333333333333	0.0
limousine	vehicle	1.0	1.0
dog	mammal	0.7583333333333333	0.9964143122345701
chain	bucket	0.0	0.0
fungus	plant	0.47500000000000003	0.0
package	envelope	0.32	0.32
shield	armor	0.9	0.0
cauliflower	food	0.9766666666666667	0.0
penguin	bird	0.975	0.8064516129032258
animal	reptile	0.11666666666666665	0.2568268080518675
lemon	fruit	1.0	0.04
reptile	animal	0.9866666666666667	1.0
volleyball	game	0.9716666666666667	0.0
frying_pan	pan	0.9500000000000001	0.03333333333333333
banjo	instrument	1.0	0.0
compass	instrument	0.7633333333333333	0.0
lizard	animal	0.8683333333333333	1.0
potato	vegetable	0.8966666666666666	0.0
meter	whole	0.8166666666666668	0.40625
weapon	gun	0.36166666666666664	0.0
vehicle	car	0.15333333333333335	0.0020972119417715274
